"date","close","volume","open","high","low"

"2018/02/09","88.1800","63470240.0000","86.3000","88.9300","83.8300"
"2018/02/08","85.0100","55247060.0000","89.7100","89.8750","84.7600"
"2018/02/07","89.6100","41082380.0000","90.4900","91.7700","89.2000"
"2018/02/06","91.3300","67970920.0000","86.8900","91.4750","85.2500"
"2018/02/05","88.0000","50588980.0000","90.5600","93.2400","88.0000"
"2018/02/02","91.7800","47484680.0000","93.6400","93.9700","91.5000"
"2018/02/01","94.2600","46866010.0000","94.7900","96.0700","93.5813"
"2018/01/31","95.0100","47448270.0000","93.7500","95.4000","93.5100"
"2018/01/30","92.7400","37310120.0000","93.3000","93.6600","92.1000"
"2018/01/29","93.9200","31521680.0000","95.1400","95.4500","93.7200"
"2018/01/26","94.0600","28964890.0000","93.1200","94.0600","92.5800"
"2018/01/25","92.3300","26099100.0000","92.4650","93.2400","91.9300"
"2018/01/24","91.8200","32735410.0000","92.5500","93.4300","91.5800"
"2018/01/23","91.9000","23014000.0000","91.9000","92.3000","91.5400"
"2018/01/22","91.6100","23511170.0000","90.0000","91.6200","89.7400"
"2018/01/19","90.0000","35612750.0000","90.1400","90.6100","89.6600"
"2018/01/18","90.1000","24138250.0000","89.8000","90.6700","89.6600"
"2018/01/17","90.1400","25617320.0000","89.0800","90.2800","88.7500"
"2018/01/16","88.3500","36584400.0000","90.1000","90.7900","88.0104"
"2018/01/12","89.6000","24261620.0000","88.6700","89.7800","88.4500"
"2018/01/11","88.0800","17699700.0000","88.1300","88.1300","87.2400"
"2018/01/10","87.8200","18639390.0000","87.8600","88.1900","87.4100"
"2018/01/09","88.2200","19466220.0000","88.6500","88.7272","87.8600"
"2018/01/08","88.2800","22110230.0000","88.2000","88.5800","87.6046"
"2018/01/05","88.1900","23400070.0000","87.6600","88.4100","87.4300"
"2018/01/04","87.1100","21904860.0000","86.5900","87.6600","86.5700"
"2018/01/03","86.3500","25979960.0000","86.0550","86.5100","85.9700"
"2018/01/02","85.9500","22122680.0000","86.1250","86.3100","85.5000"
"2017/12/29","85.5400","18547840.0000","85.6300","86.0500","85.5000"
"2017/12/28","85.7200","10589110.0000","85.9000","85.9300","85.5500"
"2017/12/27","85.7100","14662250.0000","85.6500","85.9800","85.2150"
"2017/12/26","85.4000","9883700.0000","85.3100","85.5346","85.0300"
"2017/12/22","85.5100","14071140.0000","85.4000","85.6300","84.9200"
"2017/12/21","85.5000","17939970.0000","86.0500","86.1000","85.4000"
"2017/12/20","85.5200","23584190.0000","86.2000","86.3000","84.7100"
"2017/12/19","85.8300","23339920.0000","86.3500","86.3500","85.2700"
"2017/12/18","86.3800","22278960.0000","87.1200","87.4999","86.2300"
"2017/12/15","86.8500","53921240.0000","85.2600","87.0900","84.8800"
"2017/12/14","84.6900","19302690.0000","85.4300","85.8739","84.5300"
"2017/12/13","85.3500","21708830.0000","85.7400","86.0000","85.1700"
"2017/12/12","85.5800","23821210.0000","85.3100","86.0500","85.0800"
"2017/12/11","85.2300","21446720.0000","84.2900","85.3700","84.1200"
"2017/12/08","84.1600","24027610.0000","83.6300","84.5800","83.3300"
"2017/12/07","82.4900","23170300.0000","82.5400","82.8000","82.0000"
"2017/12/06","82.7800","24876890.0000","81.5500","83.1400","81.4300"
"2017/12/05","81.5900","26144410.0000","81.3400","82.6800","80.9801"
"2017/12/04","81.0800","39084990.0000","84.4200","84.4299","80.7000"
"2017/12/01","84.2600","29387350.0000","83.6000","84.8100","83.2200"
"2017/11/30","84.1700","32998560.0000","83.5100","84.5200","83.3400"
"2017/11/29","83.3400","27358660.0000","84.7100","84.9172","83.1750"
"2017/11/28","84.8800","21897340.0000","84.0700","85.0600","84.0200"
"2017/11/27","83.8700","17721740.0000","83.3100","83.9800","83.3000"
"2017/11/24","83.2600","7425603.0000","83.0100","83.4300","82.7800"
"2017/11/22","83.1100","20550600.0000","83.8300","83.9000","83.0400"
"2017/11/21","83.7200","21195610.0000","82.7400","83.8400","82.7400"
"2017/11/20","82.5300","16128540.0000","82.4000","82.5900","82.2500"
"2017/11/17","82.4000","22075340.0000","83.1200","83.1200","82.2400"
"2017/11/16","83.2000","20957350.0000","83.1000","83.4200","82.9400"
"2017/11/15","82.9800","19337370.0000","83.4700","83.6900","82.6900"
"2017/11/14","84.0500","18759800.0000","83.5000","84.1000","82.9800"
"2017/11/13","83.9300","14185670.0000","83.6600","83.9400","83.4600"
"2017/11/10","83.8700","19395240.0000","83.7900","84.0950","83.2300"
"2017/11/09","84.0900","21174120.0000","84.1100","84.2700","82.9000"
